player_id,matches_won,matches_lost,grand_slam_matches_won,grand_slam_matches_lost,tour_finals_matches_won,tour_finals_matches_lost,alt_finals_matches_won,alt_finals_matches_lost,masters_matches_won,masters_matches_lost,olympics_matches_won,olympics_matches_lost,atp500_matches_won,atp500_matches_lost,atp250_matches_won,atp250_matches_lost,best_of_3_matches_won,best_of_3_matches_lost,best_of_5_matches_won,best_of_5_matches_lost,hard_matches_won,hard_matches_lost,clay_matches_won,clay_matches_lost,grass_matches_won,grass_matches_lost,carpet_matches_won,carpet_matches_lost,outdoor_matches_won,outdoor_matches_lost,indoor_matches_won,indoor_matches_lost,deciding_sets_won,deciding_sets_lost,fifth_sets_won,fifth_sets_lost,finals_won,finals_lost
419,0.0,3.0,,,,,,,,,,,0.0,1.0,0.0,2.0,0.0,3.0,,,0.0,1.0,0.0,2.0,,,,,0.0,3.0,,,0.0,2.0,,,,
716,1.0,3.0,,,,,,,0.0,1.0,,,,,1.0,2.0,1.0,3.0,,,,,1.0,3.0,,,,,1.0,3.0,,,,,,,,
664,0.0,2.0,0.0,1.0,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,0.0,2.0,,,,,,,,
543,92.0,122.0,7.0,10.0,,,,,2.0,5.0,,,6.0,7.0,73.0,93.0,81.0,105.0,11.0,17.0,13.0,24.0,71.0,83.0,2.0,4.0,3.0,10.0,79.0,97.0,13.0,25.0,30.0,33.0,1.0,2.0,0.0,3.0
736,2.0,10.0,,,,,,,0.0,1.0,,,0.0,1.0,1.0,2.0,1.0,6.0,1.0,4.0,2.0,6.0,0.0,3.0,,,0.0,1.0,2.0,9.0,0.0,1.0,0.0,2.0,,,,
565,66.0,91.0,10.0,17.0,,,,,8.0,13.0,,,2.0,8.0,46.0,53.0,56.0,73.0,10.0,18.0,24.0,39.0,9.0,12.0,25.0,25.0,8.0,15.0,51.0,68.0,15.0,23.0,27.0,30.0,3.0,8.0,0.0,2.0
566,4.0,9.0,,,,,,,,,,,0.0,2.0,1.0,4.0,2.0,7.0,2.0,2.0,3.0,6.0,1.0,2.0,,,0.0,1.0,4.0,8.0,0.0,1.0,1.0,2.0,0.0,1.0,,
551,179.0,225.0,26.0,34.0,,,,,5.0,17.0,,,16.0,29.0,132.0,145.0,152.0,190.0,27.0,35.0,47.0,87.0,25.0,37.0,84.0,71.0,23.0,30.0,147.0,172.0,32.0,53.0,57.0,67.0,6.0,4.0,2.0,4.0
532,376.0,222.0,81.0,34.0,4.0,4.0,4.0,4.0,62.0,53.0,,,69.0,52.0,156.0,75.0,287.0,179.0,89.0,43.0,166.0,100.0,24.0,26.0,85.0,32.0,101.0,64.0,243.0,139.0,133.0,83.0,125.0,60.0,18.0,4.0,14.0,13.0
85,47.0,90.0,8.0,14.0,,,,,1.0,8.0,,,4.0,7.0,34.0,61.0,33.0,61.0,14.0,29.0,3.0,9.0,35.0,58.0,7.0,16.0,2.0,7.0,43.0,81.0,4.0,9.0,18.0,18.0,3.0,2.0,0.0,1.0
592,83.0,105.0,8.0,12.0,,,,,17.0,22.0,,,11.0,23.0,47.0,48.0,75.0,92.0,8.0,13.0,48.0,46.0,9.0,18.0,8.0,14.0,18.0,27.0,64.0,77.0,19.0,28.0,33.0,34.0,3.0,2.0,2.0,2.0
281,102.0,187.0,8.0,21.0,,,,,7.0,16.0,,,11.0,16.0,63.0,122.0,84.0,156.0,18.0,31.0,21.0,50.0,45.0,72.0,16.0,36.0,13.0,24.0,87.0,155.0,15.0,32.0,41.0,35.0,2.0,5.0,0.0,1.0
95,10.0,29.0,,,,,,,0.0,1.0,,,0.0,4.0,6.0,18.0,6.0,19.0,4.0,10.0,2.0,5.0,1.0,15.0,5.0,4.0,2.0,5.0,7.0,22.0,3.0,7.0,1.0,3.0,,,,
553,96.0,128.0,15.0,18.0,,,,,15.0,20.0,0.0,1.0,3.0,17.0,48.0,65.0,72.0,100.0,24.0,28.0,39.0,62.0,13.0,16.0,31.0,30.0,13.0,20.0,81.0,99.0,15.0,29.0,37.0,33.0,6.0,4.0,1.0,0.0
259,120.0,126.0,9.0,15.0,,,,,7.0,8.0,,,7.0,10.0,85.0,81.0,98.0,100.0,22.0,26.0,40.0,40.0,43.0,41.0,25.0,26.0,5.0,14.0,105.0,98.0,15.0,28.0,46.0,43.0,8.0,7.0,3.0,3.0
519,22.0,47.0,2.0,10.0,,,,,6.0,6.0,,,2.0,2.0,12.0,29.0,20.0,37.0,2.0,10.0,10.0,19.0,2.0,6.0,8.0,19.0,2.0,3.0,20.0,44.0,2.0,3.0,4.0,13.0,0.0,3.0,,
302,2.0,8.0,0.0,1.0,,,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,7.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0,,,2.0,8.0,,,1.0,2.0,,,,
172,13.0,33.0,6.0,8.0,,,,,0.0,4.0,,,0.0,2.0,7.0,19.0,5.0,24.0,8.0,9.0,3.0,5.0,4.0,16.0,6.0,6.0,0.0,6.0,12.0,26.0,1.0,7.0,3.0,6.0,1.0,2.0,,
409,7.0,15.0,0.0,3.0,,,,,0.0,2.0,,,0.0,2.0,7.0,8.0,7.0,12.0,0.0,3.0,3.0,7.0,0.0,2.0,0.0,3.0,4.0,3.0,0.0,10.0,7.0,5.0,2.0,6.0,,,,
30,173.0,166.0,27.0,15.0,,,1.0,2.0,45.0,37.0,,,35.0,48.0,65.0,64.0,120.0,135.0,53.0,31.0,52.0,59.0,46.0,41.0,51.0,22.0,24.0,44.0,143.0,107.0,30.0,59.0,46.0,57.0,10.0,7.0,5.0,6.0
288,34.0,84.0,2.0,7.0,,,,,2.0,8.0,,,5.0,12.0,25.0,56.0,32.0,75.0,2.0,9.0,12.0,27.0,10.0,39.0,4.0,7.0,8.0,11.0,16.0,52.0,18.0,32.0,12.0,24.0,1.0,1.0,,
21,0.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,0.0,1.0,,,,,,,0.0,1.0,,,0.0,1.0,,,,
622,0.0,9.0,0.0,1.0,,,,,0.0,1.0,,,,,0.0,7.0,0.0,8.0,0.0,1.0,,,0.0,8.0,,,0.0,1.0,0.0,8.0,0.0,1.0,0.0,2.0,,,,
3,11.0,20.0,5.0,9.0,,,,,,,,,1.0,4.0,5.0,7.0,4.0,9.0,7.0,11.0,1.0,3.0,3.0,5.0,7.0,12.0,,,11.0,20.0,,,3.0,5.0,1.0,1.0,,
324,45.0,77.0,0.0,5.0,,,,,3.0,9.0,,,3.0,10.0,39.0,53.0,45.0,71.0,0.0,6.0,16.0,27.0,13.0,27.0,5.0,5.0,11.0,18.0,33.0,56.0,12.0,21.0,18.0,20.0,0.0,1.0,0.0,1.0
774,2.0,2.0,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,,,0.0,1.0,,,,
398,13.0,40.0,0.0,8.0,,,,,0.0,5.0,,,0.0,4.0,12.0,21.0,12.0,30.0,1.0,10.0,7.0,11.0,3.0,23.0,0.0,4.0,2.0,2.0,11.0,38.0,2.0,2.0,3.0,7.0,0.0,1.0,0.0,1.0
249,205.0,148.0,11.0,14.0,,,,,22.0,18.0,,,18.0,20.0,143.0,89.0,179.0,121.0,26.0,27.0,5.0,7.0,188.0,118.0,3.0,5.0,9.0,18.0,192.0,124.0,13.0,24.0,86.0,45.0,7.0,6.0,6.0,6.0
635,128.0,119.0,10.0,11.0,,,0.0,1.0,10.0,14.0,,,21.0,26.0,87.0,67.0,118.0,104.0,10.0,15.0,43.0,42.0,43.0,39.0,11.0,8.0,31.0,30.0,74.0,73.0,54.0,46.0,40.0,53.0,1.0,6.0,2.0,1.0
255,596.0,297.0,90.0,33.0,3.0,9.0,1.0,2.0,136.0,71.0,,,107.0,53.0,248.0,123.0,499.0,251.0,97.0,46.0,229.0,108.0,91.0,58.0,118.0,43.0,158.0,88.0,415.0,196.0,181.0,101.0,159.0,125.0,16.0,14.0,16.0,26.0
388,6.0,19.0,0.0,1.0,,,,,0.0,2.0,,,0.0,2.0,6.0,14.0,6.0,18.0,0.0,1.0,4.0,4.0,2.0,9.0,0.0,1.0,0.0,5.0,6.0,12.0,0.0,7.0,2.0,3.0,,,,
165,0.0,10.0,0.0,1.0,,,,,,,,,0.0,1.0,0.0,8.0,0.0,9.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,4.0,,,0.0,8.0,0.0,2.0,0.0,1.0,,,,
56,108.0,106.0,5.0,13.0,,,,,3.0,5.0,,,9.0,12.0,84.0,75.0,63.0,64.0,45.0,42.0,6.0,7.0,89.0,82.0,6.0,10.0,1.0,7.0,107.0,99.0,1.0,7.0,26.0,30.0,6.0,10.0,0.0,4.0
151,2.0,11.0,0.0,2.0,,,,,0.0,1.0,,,,,2.0,8.0,2.0,9.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,5.0,0.0,1.0,2.0,10.0,0.0,1.0,1.0,2.0,,,,
639,33.0,55.0,2.0,6.0,,,,,2.0,2.0,,,5.0,10.0,24.0,37.0,31.0,49.0,2.0,6.0,8.0,16.0,23.0,35.0,0.0,1.0,2.0,3.0,31.0,52.0,2.0,3.0,15.0,18.0,2.0,1.0,,
296,3.0,7.0,,,,,,,,,,,,,3.0,7.0,3.0,7.0,,,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,5.0,0.0,2.0,2.0,2.0,,,,
209,2.0,15.0,0.0,3.0,,,,,1.0,1.0,,,0.0,1.0,1.0,10.0,1.0,10.0,1.0,5.0,1.0,5.0,0.0,4.0,1.0,6.0,,,2.0,15.0,,,0.0,3.0,,,,
74,783.0,258.0,106.0,28.0,8.0,5.0,8.0,8.0,189.0,69.0,,,154.0,55.0,300.0,88.0,599.0,189.0,184.0,69.0,227.0,72.0,167.0,72.0,125.0,36.0,264.0,78.0,466.0,162.0,317.0,96.0,194.0,108.0,23.0,18.0,45.0,40.0
620,5.0,18.0,0.0,2.0,,,,,,,,,1.0,4.0,4.0,12.0,5.0,16.0,0.0,2.0,,,5.0,18.0,,,,,5.0,18.0,,,1.0,5.0,,,,
138,7.0,16.0,2.0,2.0,,,,,,,,,,,5.0,14.0,3.0,11.0,4.0,5.0,0.0,1.0,3.0,7.0,4.0,7.0,0.0,1.0,7.0,15.0,0.0,1.0,2.0,3.0,,,,
34,63.0,33.0,,,,,,,1.0,1.0,,,5.0,3.0,36.0,21.0,15.0,16.0,48.0,17.0,10.0,10.0,36.0,17.0,1.0,1.0,0.0,2.0,63.0,28.0,0.0,5.0,15.0,8.0,9.0,2.0,2.0,3.0
418,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,0.0,1.0,,,0.0,1.0,0.0,1.0,,
245,52.0,81.0,6.0,9.0,,,,,2.0,6.0,,,0.0,7.0,44.0,59.0,46.0,71.0,6.0,10.0,24.0,32.0,5.0,13.0,8.0,16.0,15.0,20.0,31.0,53.0,21.0,28.0,17.0,26.0,2.0,5.0,1.0,0.0
205,118.0,125.0,15.0,15.0,,,,,14.0,16.0,,,5.0,9.0,84.0,85.0,103.0,109.0,15.0,16.0,46.0,42.0,35.0,41.0,19.0,22.0,18.0,20.0,81.0,93.0,37.0,32.0,46.0,48.0,5.0,7.0,0.0,2.0
761,17.0,20.0,1.0,4.0,,,,,,,,,2.0,2.0,14.0,14.0,15.0,16.0,2.0,4.0,10.0,9.0,2.0,1.0,4.0,6.0,1.0,4.0,16.0,15.0,1.0,5.0,5.0,3.0,0.0,1.0,1.0,0.0
67,177.0,240.0,20.0,26.0,,,,,17.0,37.0,,,15.0,35.0,123.0,142.0,136.0,195.0,41.0,45.0,56.0,82.0,42.0,62.0,33.0,35.0,44.0,61.0,115.0,153.0,62.0,87.0,66.0,81.0,6.0,4.0,2.0,6.0
407,23.0,43.0,5.0,10.0,,,,,0.0,2.0,,,1.0,3.0,17.0,28.0,18.0,34.0,5.0,9.0,4.0,5.0,2.0,6.0,17.0,28.0,0.0,4.0,21.0,38.0,2.0,5.0,5.0,7.0,0.0,2.0,,
325,151.0,130.0,11.0,12.0,,,,,8.0,8.0,,,10.0,14.0,103.0,84.0,122.0,103.0,29.0,27.0,11.0,12.0,118.0,92.0,8.0,8.0,6.0,14.0,135.0,106.0,16.0,24.0,43.0,35.0,5.0,3.0,2.0,1.0
90,321.0,313.0,42.0,40.0,,,,,31.0,44.0,,,31.0,45.0,214.0,182.0,239.0,247.0,82.0,66.0,62.0,64.0,138.0,124.0,86.0,75.0,32.0,48.0,282.0,253.0,39.0,60.0,99.0,97.0,15.0,13.0,2.0,3.0
673,7.0,19.0,0.0,1.0,,,,,1.0,2.0,,,0.0,1.0,6.0,15.0,7.0,18.0,0.0,1.0,2.0,7.0,5.0,11.0,0.0,1.0,,,7.0,19.0,,,4.0,7.0,,,,
443,49.0,83.0,2.0,10.0,,,,,4.0,7.0,,,2.0,3.0,41.0,63.0,48.0,73.0,1.0,10.0,4.0,15.0,44.0,59.0,0.0,3.0,1.0,6.0,48.0,69.0,1.0,14.0,16.0,26.0,0.0,2.0,0.0,2.0
387,3.0,9.0,,,,,,,1.0,1.0,,,,,2.0,8.0,3.0,9.0,,,0.0,1.0,3.0,7.0,,,0.0,1.0,3.0,7.0,0.0,2.0,1.0,1.0,,,,
334,20.0,34.0,3.0,4.0,,,,,,,,,0.0,1.0,17.0,29.0,17.0,29.0,3.0,5.0,0.0,7.0,7.0,8.0,13.0,16.0,0.0,3.0,20.0,29.0,0.0,5.0,10.0,11.0,,,,
558,0.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,
144,450.0,296.0,46.0,32.0,,,0.0,3.0,81.0,70.0,,,89.0,57.0,233.0,134.0,380.0,248.0,70.0,48.0,188.0,118.0,58.0,51.0,80.0,44.0,124.0,83.0,288.0,196.0,162.0,100.0,121.0,93.0,15.0,12.0,11.0,18.0
540,34.0,48.0,10.0,9.0,,,,,0.0,2.0,,,2.0,6.0,22.0,31.0,24.0,38.0,10.0,10.0,7.0,13.0,14.0,12.0,10.0,13.0,3.0,10.0,31.0,38.0,3.0,10.0,5.0,14.0,0.0,1.0,,
39,59.0,85.0,7.0,8.0,,,,,7.0,7.0,,,1.0,7.0,38.0,53.0,36.0,55.0,23.0,30.0,5.0,16.0,48.0,53.0,0.0,1.0,1.0,9.0,56.0,72.0,3.0,13.0,17.0,25.0,6.0,5.0,0.0,1.0
168,2.0,23.0,,,,,,,0.0,1.0,,,0.0,4.0,2.0,18.0,2.0,23.0,,,2.0,10.0,0.0,11.0,0.0,1.0,0.0,1.0,2.0,20.0,0.0,3.0,1.0,4.0,,,,
690,4.0,3.0,,,,,,,,,,,,,4.0,3.0,4.0,3.0,,,,,4.0,3.0,,,,,4.0,3.0,,,3.0,0.0,,,,
